user,text
@TwitterSupport,"We had big hopes for Fleets, but now it’s time to say goodbye and take flight with other ideas. Starting August 3, Fleets will no longer be available. More on what we learned and what's coming (1/4)"
@TwitterSupport,"We had planned for Fleets to help people feel comfortable joining the conversation in a low-pressure way, but it turns out Fleets were mainly used by those Tweeting the most. So now we're ready to explore other ways for people to share on Twitter. (2/4)"
@TwitterSupport,We learned a lot from Fleets and we’re excited to focus on newer and better ways to start conversations on Twitter. We’re proud of the work so far and have no plans of slowing down. (3/4)
@TwitterSupport,"Taking big chances helps us make the best product possible for you, but it doesn't always work out like we planned. It’s not always easy to say goodbye to a feature like Fleets, but we’re excited to get back to work on what we’ve got planned next: https://blog.twitter.com/en_us/topics/product/2021/goodbye-fleets.html… (4/4)"
@ladyofacat,"Please let us have multiple gifs per tweet I’m begging on my knees. It would be such a popular feature, everyone would love it especially me"
@TwitterSupport,"Hi, Anita. We appreciate your suggestion and will send your feedback to the team."
@fluffykittensox,I’m impressed that you have actually taken note of what didn’t work and also listened to the populace. Thank you for that it’s appreciated.
@TwitterSupport,
@PBTyrrell,"I love it, removal is critical in great design. Well done."
@Cally246,Can we have a way to be able to see interactions between accounts? Like if you click on someone’s profile you can see if you’ve interacted before?
@TwitterSupport,"Hey Cally. Thanks for the suggestion, we'll share this with our larger team for consideration."
@IAmJenMcG,"It’d be cool if you took a swing at getting rid of nazis and anti-vaxers but I get it, priorities"
@1stMarsColonist,Can we get better notification AI?
@s_u_n_j_a_y,
@RobRobbEdwards,Twitter have restricted my account for over 12 months now and I can't get a response You say you are here to help but you do nothing
@elfhybrid_,Literally all we want is for you guys to mod more and actually kick out the nazis and the people who harass us the SINGULARLY ONLY THING
@krysxpp2,"Hi @TwitterSupport i've been following @krysxpp for long time, this user has never done anything to violate twitter rules. It's suspended w/no email notice. Could u please consider&unsuspend it? She appealed the restriction via case no. #0215097024 bt still no response, TIA."
@BackupKy1e,"Hi @TwitterSupport , I filed a DMCA counter-notification over 10 days ago and never got a notice. This means that my account (@Ky1eWRLD) should have been unsuspended. However, it is still locked. Please unlock my account because it is now in good standing. Case # 0203668923"
@ItemsENABLED,Still waiting for the edit button
@ Dreamhack SD,"What about Super Follows, Spaces, and other upcoming products?"
@jkkcult,"Please @TwitterSupport Can u unblock my acc @jikookculture ? I really didn't violated any Twitter rules, I am having issues to reset my password cause I don't have email registred to it, just phone number, and it doesn't work. Please help me, this acc it's really important to me!"
@iHasan_7,Goodbye fleets I don't like it anyway
